,Epoch,HR,PC_HR,HR_MIN,HR_MAX,PC_HRV,GSR,PC_GSR,GSR_MIN,GSR_MAX,Feedback
0,0,79.27466318991742,-0.20921397881287934,77.65319426336376,80.92698826597132,-0.4846088082921978,2.2055561538461537,-0.13441651139230468,2.1910576140808344,2.2203921642764035,0.0
1,1,78.57183557183558,-0.648632219001031,77.04395604395604,80.1025641025641,3.1229756882152224,2.7665406267806265,59.970727297480764,2.7443219658119653,2.791115506715503,0.0
2,2,81.17225325884544,4.384279226921688,79.68994413407822,82.64525139664805,-4.686451427607193,3.2555510800744867,66.12418868563896,3.218966284916195,3.291766787709494,2.7905027932960893
3,3,80.63310185185186,6.616001522470858,79.11805555555556,82.18055555555556,14.356271252598036,3.7952415335648144,168.6188604361642,3.7606677083333375,3.8308988541666684,3.064236111111111
4,4,84.37951450562466,6.8132985917725,82.53818827708703,86.22202486678508,1.4581717760260393,3.345750828892837,84.6016721634708,3.3160658259325038,3.3766053641207776,3.2539964476021312
5,5,86.99523809523811,9.024760193566904,85.30892857142857,88.66428571428571,-0.36299949156171435,3.5312983333333348,90.31521360095584,3.502575250000002,3.560129500000004,4.333928571428571
6,6,82.46313799621926,8.435055866746097,80.84120982986768,84.07561436672968,-3.8124698483234503,3.27663081915564,107.46150291620576,3.2580516257088887,3.296696200378074,3.9054820415879017
7,7,83.13963963963951,5.354301720268744,81.9015444015444,84.38416988416988,-6.481827281530075,2.77619804375804,67.44820034411815,2.7632758687258723,2.7886635521235505,2.8465250965250966
8,8,85.91754756871045,9.306547105936168,84.4291754756871,87.41437632135306,-9.586802052825174,3.2169806272022523,74.81834925673834,3.1943728541226233,3.240779830866809,3.285412262156448
9,9,83.68839230291749,5.543368838852869,82.23649906890131,85.14338919925513,-8.705653977304328,3.3166333395406586,81.72492294436834,3.2973545251396663,3.3369221229050305,3.2476722532588456
10,10,83.95111111111123,3.7400513573599903,82.55777777777777,85.34666666666666,-11.593237723042146,3.9211066222222213,93.38015144359714,3.888864533333334,3.9545827777777767,2.5955555555555554
11,11,84.38433908045972,4.489378153603222,82.91810344827586,85.86637931034483,-8.954593375525171,3.9314583548850583,94.24187098812858,3.8850467025862074,3.9807054525862036,2.6982758620689653
12,12,85.00364697301238,5.2756930513954154,83.57768052516411,86.42231947483589,-11.054119270561573,4.040754675419399,97.8080999803428,4.007934945295403,4.075204507658648,2.9431072210065645
13,13,84.53763440860214,3.7501929088819823,83.03917050691244,86.04147465437788,-7.9024668597581895,4.21631371735791,101.72714985942784,4.182813778801852,4.252319631336415,3.0023041474654377
14,14,84.63045793397244,2.8735488586268443,83.21086261980831,86.05271565495208,-20.948180453730664,4.542604635250268,82.87431658116222,4.507206469648562,4.579377515974446,3.165335463258786
